Date,Symbols,Close,High,Low,Open,Volume
2015-01-13,QQQ,95.4016,97.3938,94.6471,96.3648,59740815.330254
2015-01-13,AAPL,24.8505,25.4277,24.5489,25.1161,297554520.74231
2015-01-13,BABA,100.77,102.85,100.01,102.59,11288007.0
2015-01-13,TSLA,13.6167,13.8407,13.394,13.5547,66716175.0
2015-01-13,META,76.45,78.08,75.85,77.23,25176161.0
2015-01-13,XOM,62.2807,63.2699,61.669,62.8914,25242093.484823
2015-01-13,AMZN,14.737,15.075,14.6615,14.874,82721520.0
2015-01-13,GOOGL,25.09,25.43,24.863000000000003,25.113000000000003,61005900.0
2015-01-14,DIA,154.964,155.57399999999998,153.495,154.394,12457060.306565
2015-01-14,SPY,175.023,175.232,173.021,173.967,221169774.98702002
2015-01-14,MCHI,45.5696,45.8101,45.3312,45.6684,339278.14976744
2015-01-14,QQQ,94.8836,95.3617,94.0442,94.4554,54569688.386792
2015-01-14,AAPL,24.7546,24.9074,24.454,24.5789,216920801.30734
2015-01-14,BABA,99.58,100.18,98.06,99.28,17796836.0
2015-01-14,TSLA,12.845999999999998,13.0133,12.3333,12.3887,173262060.0
2015-01-14,META,76.28,77.2,76.03,76.42,25913173.0
2015-01-14,XOM,62.1003,62.2072,60.3867,61.57,33628900.630584
2015-01-14,AMZN,14.6635,14.7955,14.325,14.5965,110696320.0
2015-01-14,GOOGL,25.2965,25.413,24.908,25.021,52799180.0
2015-01-15,DIA,154.065,155.894,153.835,155.584,10437570.473363
2015-01-15,SPY,173.419,175.998,173.29,175.69,201980043.93271002
2015-01-15,MCHI,45.839,46.4466,45.82,46.3678,154516.85653169
2015-01-15,QQQ,93.652,95.4695,93.5412,95.2479,54166184.253467
2015-01-15,AAPL,24.0786,24.8135,24.0406,24.8006,265764353.65425
2015-01-15,BABA,96.31,100.14,96.02,99.67,18239367.0
2015-01-15,TSLA,12.7913,13.05,12.6667,12.966,78225315.0
2015-01-15,META,74.05,76.57,73.54,76.4,34113830.0
2015-01-15,XOM,61.5621,62.7385,61.2524,62.5816,27107290.830755
2015-01-15,AMZN,14.3475,14.8,14.341,14.7,88343460.0
2015-01-15,GOOGL,25.2005,25.4875,25.1005,25.4445,51133240.0
2015-01-16,DIA,155.664,155.924,153.365,153.765,9787156.5144221
2015-01-16,SPY,175.69,175.829,173.011,173.18,243104128.40618998
2015-01-16,MCHI,45.6155,45.6973,45.1237,45.1326,452521.88473212
2015-01-16,QQQ,94.7499,94.8736,93.3785,93.5312,37616865.949708
2015-01-16,AAPL,23.8878,24.2513,23.7141,24.1295,348252041.78444
2015-01-16,BABA,96.89,97.8,95.52,96.09,13324788.0
2015-01-16,TSLA,12.8713,12.966,12.6433,12.7133,54045885.0
2015-01-16,META,75.18,75.32,73.84,74.04,21788392.0
2015-01-16,XOM,63.0551,63.1042,61.5778,61.5778,25595562.305173002
2015-01-16,AMZN,14.537,14.5395,14.2625,14.314,69561400.0
2015-01-16,GOOGL,25.5225,25.5425,25.1545,25.1575,49657160.0
2015-01-20,DIA,155.874,156.474,154.265,156.174,8105865.1727551
2015-01-20,SPY,176.048,176.636,174.405,176.33700000000002,150313743.02535
