Date,DIA,SPY,AAPL,AMZN,BABA,GOOGL,MCHI,META,QQQ,TSLA,XOM
2/25/2015,0.000308488,-0.000807409,-0.025644026,0.017908555,0.017711654,0.01611436,-0.003191368,0.01414914,-0.002547671,-0.001712316,0.00202802
2/26/2015,0.000246714,-0.001133455,0.012747705,-0.001479098,-0.009513865,0.021851534,0.010287165,0.010683761,0.005098532,0.016835984,-0.010651767
2/27/2015,-0.004686411,-0.003404223,-0.015125025,-0.012058212,-0.002928429,0.005971857,-0.000399806,-0.01790822,-0.004486233,-0.018584346,-0.001212329
3/2/2015,0.00848765,0.006237878,0.004878284,0.014441288,-0.013157895,0.022021577,0.0045154,0.009877169,0.00930744,-0.029603128,-0.005657438
3/3/2015,-0.004484553,-0.004098516,0.002324594,-0.002696746,-0.028809524,0.006556294,-0.024378335,-0.001880878,-0.004853991,0.011349556,-0.004787435
3/4/2015,-0.006226435,-0.004006654,-0.006479423,-0.004914069,0.047928414,-0.000794761,-0.010007454,0.01620603,-0.003900179,0.014379134,-0.00501679
3/5/2015,0.002229232,0.00103162,-0.01654657,0.013351798,0.007135337,0.005360261,-0.005432919,0.00395599,0.0018645,-0.008891985,-0.005073109
3/6/2015,-0.01522915,-0.014007939,0.00149967,-0.019957198,-0.019744483,-0.014670726,-0.010731037,-0.014899643,-0.011244539,-0.033644105,-0.012743338
3/9/2015,0.007983994,0.003909814,0.004181618,-0.004025362,-0.022156398,0.002094606,0.008889212,-0.007,0.002763854,-0.015473529,-0.005475645
3/10/2015,-0.017345767,-0.016068615,-0.02068546,-0.023906382,0.005331395,-0.02482146,-0.021545261,-0.023791541,-0.018532971,-0.002931169,-0.010568648
3/11/2015,-0.001969092,-0.002564146,-0.01821899,-0.00849774,-0.011811498,-0.007430562,0.005571379,0.000257898,-0.005585361,0.017969735,-0.002848185
3/12/2015,0.001463821,0.003631588,0.005451798,0.021481016,-0.000853763,0.010203531,0.009597036,0.017532551,0.002898959,-0.026114896,-0.006344554
3/13/2015,0.016008592,0.013976041,0.005850119,-0.00977982,-0.000732422,-0.014892404,0.003511868,-0.011149119,-0.000694385,0,0.005397894
3/16/2015,0.002001601,0.002311023,0.010709907,0.007474769,0.026142194,0.01562387,0.017524202,0.000256246,0.012880296,0.037205753,0.009759349
3/17/2015,-0.007178885,-0.002685391,0.016708107,-0.003830186,0.005952381,-0.007175415,0.005911039,0.016523633,0.001595421,-0.004959108,-0.007983931
3/18/2015,0.012323789,0.011918162,0.011253701,0.008657776,0.001065089,0.015333297,0.0148118,0.01953125,0.009636923,0.030711755,0.023631605
3/19/2015,-0.005714215,-0.004558442,-0.007420123,-0.005064776,0.013594988,-0.00439805,-0.002273572,0.022741318,0.001479071,-0.025215422,-0.019260697
3/20/2015,0.008801739,0.008725898,-0.012424664,0.014066017,-0.006298111,0.002270832,0.003398028,0.012688822,0.006577069,0.01242017,0.001472163
3/23/2015,-0.00061923,-0.001889733,0.010198137,-0.008930223,-0.011150235,0.000743429,-0.001305266,0.0075179,-0.00204435,0.007830189,0.010598136
3/24/2015,-0.0054464,-0.005582003,-0.004057528,-0.002719202,-0.00735905,0.021525727,-0.004022263,0.010422835,-0.00351878,0.010466837,-0.01065028
3/25/2015,-0.016441138,-0.014760996,-0.025986076,-0.008366971,0.001434892,-0.018249818,-0.01171697,-0.028015473,-0.022976442,-0.036786139,0.003994746
3/26/2015,-0.002343656,-0.002432239,0.006793391,-0.009731507,0.005014925,-0.005925926,0.000214508,0.001085384,-0.003195438,-0.020072105,-0.006364149
3/27/2015,0.001777744,0.002326837,-0.007882222,0.008738261,0.004871094,-0.010804769,0.014527689,0.003493555,0.003709663,-0.028361419,-0.008771723
3/30/2015,0.014760779,0.012162545,0.025239941,0.010875432,-0.008039726,0.006438884,0.036927975,-0.001320528,0.011752986,0.030113595,0.024543482
3/31/2015,-0.010361497,-0.008630954,-0.015365624,-0.006647268,-0.007866508,-0.011476637,-0.005267825,-0.011720159,-0.010922255,-0.009445323,-0.00736569
4/1/2015,-0.004543934,-0.003636303,-0.001420611,-0.004944907,-0.01057184,-0.009392464,0.016315497,-0.006628961,-0.004886937,-0.006253625,-0.006370344
